240,1443
996,1748
400,1258
290,675
1389,1666
658,685
193,1506
63,886
440,628
393,1331
1483,1823
1102,1556
848,1347
1240,1609
22,1953
139,1862
39,1339
851,1473
594,733
32,540
319,756
148,171
1052,1361
330,450
508,698
271,720
443,1703
14,1966
248,1739
63,1759
223,687
293,720
692,994
974,1382
296,1235
816,1146
665,1685
437,1582
377,1829
109,1980
720,1485
1478,1547
132,1454
287,1319
780,1890
281,1927
861,999
265,1348
175,1729
441,1538
402,1511
891,1057
1201,1960
1324,1473
1399,1981
37,1017
1425,1567
796,1292
1281,1910
339,1330
196,429
62,733
123,747
576,684
701,1185
136,790
1185,1706
225,766
200,519
83,840
483,1957
1278,1874
726,742
1193,1262
191,353
347,1421
1213,1592
631,1131
165,810
661,1887
349,610
316,1183
1190,1698
927,1369
815,1054
1691,1860
1166,1219
1786,1862
323,1729
1301,1793
1374,1657
579,737
711,771
210,590
446,717
983,1245
191,192
1005,1529
388,1640
432,1191
98,529
1765,1936
320,666
626,963
1230,1994
395,456
317,1688
617,1538
169,1633
183,1351
864,1787
95,1821
289,871
77,1826
284,810
1455,1536
101,1032
1017,1065
398,424
861,991
572,804
1086,1167
1588,1982
328,870
1187,1651
642,1466
1290,1777
862,1326
283,1374
889,1610
796,813
1283,1637
118,1683
206,225
163,732
830,1123
1317,1484
43,784
536,544
164,581
639,1657
88,1926
1244,1952
32,1047
680,891
1704,1915
729,1759
264,367
1787,1956
1721,1990
685,1729
616,1696
316,1845
1155,1703
562,1163
460,669
40,1487
368,1450
1224,1557
1404,1583
1934,1944
240,506
599,1069
437,1722
72,1953
199,1459
931,1561
203,441
1114,1965
701,972
1007,1094
946,1996
483,699
1430,1435
994,1473
761,1309
138,573
1156,1725
142,1298
8,1675
286,1028
232,1585
441,1710
1569,1752
880,1880
302,303
695,1137
606,1949
381,496
563,637
326,353
140,1675
312,1601
16,420
15,109
790,1344
120,537
1479,1745
681,912
956,1860
215,522
1076,1816
514,1242
514,804
599,953
261,1802
535,868
608,1530
1806,1845
58,731
880,1414
667,1437
87,238
259,423
31,1633
625,1976
306,752
236,1557
1358,1894
1214,1680
532,858
757,1707
206,1363
98,807
1380,1786
310,1820
1066,1137
405,587
377,1936
114,1324
1011,1539
1413,1738
495,974
103,838
250,1990
246,1066
615,1119
1079,1321
452,1288
631,1073
468,848
531,1709
202,1628
874,1353
1841,1951
537,1918
1568,1799
19,1423
287,1421
497,617
1507,1757
58,855
1039,1530
1582,1875
385,1633
757,1811
197,1946
503,944
131,901
1086,1814
1176,1552
129,698
719,1540
722,1564
483,681
1122,1254
881,1285
1092,1487
880,1042
526,1432
561,1328
603,1775
1398,1647
51,371
537,1770
696,1446
1316,1681
291,612
1470,1576
1366,1482
837,1696
157,919
134,1420
161,471
477,528
1033,1955
718,871
842,1840
800,917
538,1786
604,1336
1153,1256
329,744
1368,1982
898,1486
490,1517
468,568
1058,1813
1344,1712
218,1210
