1999,525
1771,773
1303,1133
1251,504
1250,1705
1241,311
259,640
1328,553
263,510
1216,1500
266,510
1183,311
1938,1076
1168,772
294,1500
1217,244
1951,1747
207,0
1359,0
98,510
1977,1032
113,630
118,726
1481,772
1462,630
1966,1747
1453,1032
1452,244
170,1066
1408,714
1958,515
1378,773
195,898
1371,553
295,244
1732,1058
297,773
308,877
484,1747
1835,1066
1842,714
825,515
531,1079
781,714
475,149
1890,1076
743,714
1883,1133
1867,0
609,1476
636,224
1876,877
747,311
1829,1032
935,167
1908,149
1145,139
1791,1394
1932,1007
1130,510
1112,311
1098,1032
1087,1394
356,0
363,1747
1068,311
367,515
1038,1503
402,470
1910,510
442,1079
1155,525
1731,525
1144,772
6,0
1715,1049
50,714
65,392
1646,149
1615,1156
1598,773
1648,167
1652,1394
1990,773
1720,1420
1688,1032
1671,1394
1670,1886
1987,838
390,1705
387,726
22,640
1091,0
385,1066
1918,311
1044,1420
382,139
1046,640
1807,1133
1054,1007
1805,1032
1062,76
368,1705
386,1007
1039,1007
1017,169
1029,640
983,139
423,714
422,510
1912,510
420,1066
995,1066
416,0
996,510
1998,1394
1000,877
1002,1747
1004,244
1914,1007
406,1500
1810,224
1013,254
401,1079
354,772
1028,0
1917,0
1086,1007
1099,0
1095,553
1991,346
1935,1500
305,1747
1936,942
1157,316
1158,1500
1160,942
1162,772
1647,1079
296,1747
40,76
1178,470
1179,745
1181,1500
1184,167
1188,772
1190,1007
1196,1032
1198,224
622,772
1139,640
314,0
1137,316
1798,198
425,76
342,244
1100,640
340,1698
339,714
338,630
1101,76
1109,169
1591,311
1113,726
1117,381
1795,470
1121,311
324,94
1661,640
1131,1049
1793,773
1931,1476
1658,1886
1930,76
967,898
19,9
953,1420
1884,1066
719,553
739,1420
1888,773
1889,1747
1854,726
555,1032
7,0
748,773
1699,1076
752,311
755,726
759,1066
764,0
769,0
1893,0
1848,269
1894,504
774,254
779,1066
549,1066
1895,553
582,169
686,212
626,224
1873,504
1872,510
1706,640
1870,1420
642,139
612,76
1879,407
607,1133
584,1032
606,1079
604,1750
658,311
600,311
662,1032
671,714
1864,1076
590,773
679,254
680,510
651,311
1847,640
1997,0
786,504
483,1476
479,640
476,714
888,714
890,714
893,1133
1684,745
466,9
909,640
1995,640
1826,726
456,1500
938,504
939,1133
450,1032
944,244
948,0
949,1420
1823,898
1786,640
457,1032
1837,773
493,1007
859,714
1996,772
788,504
527,0
526,773
523,1133
799,1156
800,346
1844,772
1899,139
804,772
807,726
808,311
810,139
829,1007
1841,726
839,0
846,773
851,139
852,1133
1838,683
855,525
966,76
272,640
623,640
1515,714
1409,1032
1976,1066
1529,0
1601,0
1537,0
1331,1133
1411,254
1960,772
1721,169
220,1156
1751,553
1415,553
1319,1133
1468,1079
1465,1394
1956,478
1961,1394
271,510
1418,1394
1963,504
1545,1066
95,1032
1292,381
60,1076
1952,553
1342,311
1738,1032
190,898
1384,269
1494,0
1955,714
123,772
1617,1049
1974,311
1764,311
1368,553
1482,640
119,244
146,311
1604,1066
1622,1079
1355,1394
1387,773
1975,0
1611,269
183,558
1972,311
1479,244
135,510
1478,167
137,1058
186,1079
1546,877
1416,772
1459,1133
1558,198
1964,773
1559,269
1944,9
1634,244
1593,504
1227,0
1569,1076
1576,1133
160,773
250,640
261,169
1448,76
1639,149
1578,254
156,1133
1214,726
1726,0
1983,478
155,1066
1783,1032
1587,1156
45,640
1758,1133
1244,169
1775,510
1281,773
1967,553
1594,149
1273,640
241,773
90,169
242,1500
1437,470
1271,244
1946,470
1629,773
1613,1394
1631,1420
1457,1079
1247,640
878,772
882,139
1834,773
1486,525
1608,1066
821,1156
1839,942
1845,504
860,726
1488,773
1689,1058
1458,504
797,244
796,773
1694,510
823,553
1461,311
1832,1049
1475,1750
872,167
874,224
1473,772
845,773
